tutinh,kholay,NgayLTC,khung_gio_tao_don,ly_do_tre_12h,sellername,vol_ltc,tuan,vung,ot,Tuần,AM
Đắk Nông,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,lalamocmien1,128,21,NTB,128,W21,Trần Công Hậu
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-05-21,3.Tạo sau 19h,0.Ontime OPR,Hàng Hoá Tổng Hợp giá rẻ,1,21,NTB,1,W21,Huỳnh Tấn Hiền
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-05-21,3.Tạo sau 19h,2.Khách hẹn lại,Cửa hàng Sen vườn 1,2,21,NTB,0,W21,Nguyễn Ngọc Khánh
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,@trangsucnhienvo,4,21,NTB,4,W21,Nguyễn Duy Long
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,LY ĐẶNG X7,1,21,NTB,1,W21,Huỳnh Tấn Hiền
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-05-22,1.Tạo trước 9h,4.Khác,Thế Giới Đ Bẫy - STORE,2,21,NTB,0,W21,Huỳnh Tấn Hiền
Đắk Nông,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-05-21,3.Tạo sau 19h,4.Khác,LaLa Mộc Miên,4,21,NTB,0,W21,Trần Công Hậu
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Đồ Nghề Chuyên Nghiệp,2,21,NTB,2,W21,Lê Thanh Nhựt
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-05-22,3.Tạo sau 19h,4.Khác,ÚT DIỆP TRANG SỨC,6,21,NTB,0,W21,Nguyễn Ngọc Khánh
Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Zozo Shop 1339,12,21,NTB,12,W21,Trần Văn Phước
Khánh Hòa,Bưu Cục 40A Yết Kiêu-Nha Trang-Khánh Hòa,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Phụ gia thực phẩm an toàn,1,21,NTB,1,W21,Phan Đình Duy
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-05-21,1.Tạo trước 9h,4.Khác,Gấm phan,4,21,NTB,0,W21,Hồng Bích Nga
Khánh Hòa,Bưu Cục Thôn Long Hoà-Vạn Long-Vạn Ninh-Khánh Hoà,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Thanh ShopBaby,7,21,NTB,7,W21,Phạm Bá Thành Công
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Như Thủy shop Bình Thuận,2,21,NTB,2,W21,Huỳnh Tấn Hiền
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-21,1.Tạo trước 9h,4.Khác,Tài Thành Phát food,2,21,NTB,0,W21,Phạm Bá Thành Công
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,TANCY STUDIO,1,21,NTB,1,W21,Phạm Bá Thành Công
Lâm Đồng,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,SHOP HOAI THUN.,4,21,NTB,4,W21,Lê Minh Đại
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-05-22,3.Tạo sau 19h,4.Khác,Đồ ngâm Huế,2,21,NTB,0,W21,Nguyễn Duy Long
Lâm Đồng,Bưu Cục Số 6 Trương Văn Hoàn-Phường 9-Đà Lạt-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,cây giống Thanh,1,21,NTB,1,W21,Lê Văn Trường
Lâm Đồng,Bưu Cục 468 Quốc Lộ 20-Liên Nghĩa-Đức Trọng-Lâm Đồng,2026-05-22,1.Tạo trước 9h,4.Khác,YODY Official,1,21,NTB,0,W21,Trầm Hữu Tiến
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-05-21,1.Tạo trước 9h,0.Ontime OPR,Tiệm Dinh Dưỡng Khánh My,1,21,NTB,1,W21,Nguyễn Ngọc Khánh
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-21,3.Tạo sau 19h,4.Khác,Mồi Cóc Trương Lê,28,21,NTB,0,W21,Phạm Bá Thành Công
Đắk Nông,Bưu Cục 40 Nguyễn Văn Linh-Cư Jút-Đắk Nông,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Son Lyshop,5,21,NTB,5,W21,Trần Thị Nhung
Đắk Nông,Bưu Cục Đắk Mil-Đắk Nông,2026-05-21,1.Tạo trước 9h,2.Khách hẹn lại,Nguyễn Thanh Farm,4,21,NTB,0,W21,Trần Thị Nhung
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,LY ĐẶNG X7,13,21,NTB,13,W21,Huỳnh Tấn Hiền
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-05-22,1.Tạo trước 9h,4.Khác,Cửa hàng Sen vườn 1,3,21,NTB,0,W21,Nguyễn Ngọc Khánh
Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,NAMI SHOP 3968,5,21,NTB,5,W21,Trần Văn Phước
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ - Đà Lạt - Lâm Đồng,2026-05-22,1.Tạo trước 9h,0.Ontime OPR,ĐẶC SẢN XỨ ĐÀ LẠT,2,21,NTB,2,W21,#N/A
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Đồ Câu Chợ Lầu,2,21,NTB,2,W21,Nguyễn Ngọc Khánh
Lâm Đồng,Bưu Cục Lê Hồng Phong-Liên Hiệp-Đức Trọng-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Mộc thiên phú quỳnhh,1,21,NTB,1,W21,Võ Tấn Lợi
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Nhà Phân Phối Ngọc Phúc,2,21,NTB,2,W21,Nguyễn Ngọc Khánh
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Đình Phong store 2,34,21,NTB,34,W21,Huỳnh Tấn Hiền
Ninh Thuận,Bưu Cục Phước Minh-Thuận Nam-Khánh Hòa,2026-05-21,2.Tạo từ 9h-19h,2.Khách hẹn lại,Nước mắm Cà Ná Đông Thành,1,21,NTB,0,W21,#N/A
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-22,1.Tạo trước 9h,0.Ontime OPR,shop B&B....,62,21,NTB,62,W21,Huỳnh Tấn Hiền
Lâm Đồng,Bưu Cục 44B Nguyễn Đình Chiểu-Đạ Teh-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Điện Máy Tổng Hợp 24h,26,21,NTB,26,W21,#N/A
Lâm Đồng,Bưu Cục Số 6 Trương Văn Hoàn-Phường 9-Đà Lạt-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Tiệm bánh Người Lạ,12,21,NTB,12,W21,Lê Văn Trường
Khánh Hòa,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Quầy Thuốc Huyền My 1,1,21,NTB,1,W21,Thái Thị Thanh Thư
Lâm Đồng,Bưu Cục TDP Ba Đình-Lâm Hà-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Racing 49,2,21,NTB,2,W21,Huỳnh Thị Kim Chi
Lâm Đồng,Bưu Cục 300 Tự Phước-Đà Lạt-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,4.Khác,ÁO GIÁP MOBILE store,1,21,NTB,0,W21,Lê Văn Trường
Khánh Hòa,Bưu Cục Phước Đồng-Nha Trang-Khánh Hoà,2026-05-22,2.Tạo từ 9h-19h,4.Khác,nnguyenthihongmy,1,21,NTB,0,W21,Thái Thị Thanh Thư
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-05-21,1.Tạo trước 9h,0.Ontime OPR,Pin Duy Lập,1,21,NTB,1,W21,Nguyễn Ngọc Khánh
Đắk Nông,Bưu Cục 40 Nguyễn Văn Linh-Cư Jút-Đắk Nông,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Thẻ Thu Phí Tự Động Toàn Quốc,1,21,NTB,1,W21,Trần Thị Nhung
Khánh Hòa,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,2026-05-21,3.Tạo sau 19h,2.Khách hẹn lại,Đặc sản KhánhHòa,2,21,NTB,0,W21,Phạm Bá Thành Công
Lâm Đồng,Bưu Cục 300 Tự Phước-Đà Lạt-Lâm Đồng,2026-05-21,1.Tạo trước 9h,0.Ontime OPR,DALATFARM1994,13,21,NTB,13,W21,Lê Văn Trường
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-22,2.Tạo từ 9h-19h,2.Khách hẹn lại,shop B&B....,18,21,NTB,0,W21,Huỳnh Tấn Hiền
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-22,1.Tạo trước 9h,4.Khác,Holiday Shop.,2,21,NTB,0,W21,Phạm Bá Thành Công
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Hongthu.shop,13,21,NTB,13,W21,Huỳnh Tấn Hiền
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-05-21,3.Tạo sau 19h,4.Khác,Đồ ngâm Huế,4,21,NTB,0,W21,Nguyễn Duy Long
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ - Đà Lạt - Lâm Đồng,2026-05-21,2.Tạo từ 9h-19h,1.Gan_tre,Cô Trang - Eo Yoga,2,21,NTB,0,W21,#N/A
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-21,1.Tạo trước 9h,4.Khác,THÔI MIÊN,2,21,NTB,0,W21,Phạm Bá Thành Công
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ - Đà Lạt - Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,ĐẶC SẢN XỨ ĐÀ LẠT,2,21,NTB,2,W21,#N/A
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Văn Thức Shop 49,20,21,NTB,20,W21,Huỳnh Tấn Hiền
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,4.Khác,Mỹ Phẩm Long Châu,3,21,NTB,0,W21,Lê Văn Trường
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Đồ ngâm Huế,8,21,NTB,8,W21,Nguyễn Duy Long
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-05-22,3.Tạo sau 19h,0.Ontime OPR,Nông trại Hoàng Yến,6,21,NTB,6,W21,Nguyễn Duy Long
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Phụ Kiện Girls Xinh,26,21,NTB,26,W21,Nguyễn Ngọc Khánh
Ninh Thuận,Bưu Cục 254A Đường 21 tháng 8-Phan Rang-Tháp Chàm-Ninh Thuận,2026-05-21,2.Tạo từ 9h-19h,1.Gan_tre,Cây giống nha đam,3,21,NTB,0,W21,Nguyễn Duy Long
Bình Thuận,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Thích Chấm 86,1,21,NTB,1,W21,Huỳnh Tấn Hiền
Lâm Đồng,Bưu Cục Lê Hồng Phong-Liên Hiệp-Đức Trọng-Lâm Đồng,2026-05-22,1.Tạo trước 9h,4.Khác,Minipijama001,16,21,NTB,0,W21,Võ Tấn Lợi
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-22,1.Tạo trước 9h,4.Khác,THÔI MIÊN,4,21,NTB,0,W21,Phạm Bá Thành Công
Khánh Hòa,Bưu Cục 70 Lê Hồng Phong-Ninh Diêm-Ninh Hoà-Khánh Hoà,2026-05-22,3.Tạo sau 19h,2.Khách hẹn lại,petrang0705,2,21,NTB,0,W21,Phạm Bá Thành Công
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-05-21,3.Tạo sau 19h,0.Ontime OPR,Long Châu Cosmetics 2,8,21,NTB,8,W21,Lê Văn Trường
Khánh Hòa,Bưu Cục Thôn Dầu Sơn-Cam Lâm-Khánh Hoà,2026-05-21,1.Tạo trước 9h,3.Không liên lạc được,nnguyenthihongmy,1,21,NTB,0,W21,Nguyễn Hoàng Phi
Bình Thuận,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Mộc Linh - Nhang Trầm,1,21,NTB,1,W21,Huỳnh Tấn Hiền
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-22,1.Tạo trước 9h,4.Khác,Tài Thành Phát food,1,21,NTB,0,W21,Phạm Bá Thành Công
Khánh Hòa,Bưu Cục 36 Bà Triệu-Vạn Ninh-Khánh Hoà,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Chuyên sỉ lẻ hải sản nha trang,24,21,NTB,24,W21,Phạm Bá Thành Công
Khánh Hòa,Bưu Cục 36 Bà Triệu-Vạn Ninh-Khánh Hoà,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Hà Sang Shop,75,21,NTB,75,W21,Phạm Bá Thành Công
Bình Thuận,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,BIU.shop,4,21,NTB,4,W21,Cao Thị Thanh Thủy
Khánh Hòa,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,XOÀI NHÀ VƯỜN 79,43,21,NTB,43,W21,Nguyễn Thanh Long
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Đặc Sản Đà Lạt Như Thiên,3,21,NTB,3,W21,Lê Văn Trường
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Mũ trôm nhị hà,3,21,NTB,3,W21,Nguyễn Duy Long
Bình Thuận,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận,2026-05-22,3.Tạo sau 19h,4.Khác,Hoa mười giờ Bình Thuận,3,21,NTB,0,W21,Nguyễn Duy Long
Đắk Nông,Bưu Cục Đắk Mil-Đắk Nông,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Nguyễn Thanh Farm,1,21,NTB,1,W21,Trần Thị Nhung
Khánh Hòa,Bưu Cục Phước Đồng-Nha Trang-Khánh Hoà,2026-05-22,1.Tạo trước 9h,4.Khác,Làng Nghề Lưới Cước,1,21,NTB,0,W21,Thái Thị Thanh Thư
Khánh Hòa,Bưu Cục Thôn Phú An Nam 2-Xã Diên Khánh-Khánh Hòa,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Quầy xe bán hàng di động,1,21,NTB,1,W21,Nguyễn Hoàng Phi
Khánh Hòa,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,gas tý nhân,4,21,NTB,4,W21,Phạm Bá Thành Công
Lâm Đồng,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,1.Gan_tre,SHOP HOAI THUN.,3,21,NTB,0,W21,Lê Minh Đại
Khánh Hòa,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,2026-05-22,3.Tạo sau 19h,4.Khác,gas tý nhân,1,21,NTB,0,W21,Phạm Bá Thành Công
Lâm Đồng,Bưu Cục 300 Tự Phước-Đà Lạt-Lâm Đồng,2026-05-21,1.Tạo trước 9h,4.Khác,ÁO GIÁP MOBILE store,1,21,NTB,0,W21,Lê Văn Trường
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-05-21,1.Tạo trước 9h,4.Khác,Shop M garden,4,21,NTB,0,W21,Lê Thanh Nhựt
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-22,2.Tạo từ 9h-19h,2.Khách hẹn lại,Yến Sào Phương Toàn,2,21,NTB,0,W21,Huỳnh Tấn Hiền
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-05-21,2.Tạo từ 9h-19h,1.Gan_tre,Hongthu.shop,2,21,NTB,0,W21,Huỳnh Tấn Hiền
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-05-21,2.Tạo từ 9h-19h,1.Gan_tre,VTNN Việt Minh Xanh,2,21,NTB,0,W21,Hồng Bích Nga
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Cốt Bí Xanh Detox Vip,1,21,NTB,1,W21,Huỳnh Tấn Hiền
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-05-22,1.Tạo trước 9h,4.Khác,Tiệm Quê Nhà Vlog,2,21,NTB,0,W21,Nguyễn Duy Long
Lâm Đồng,Bưu Cục Lê Hồng Phong-Liên Hiệp-Đức Trọng-Lâm Đồng,2026-05-21,1.Tạo trước 9h,4.Khác,Minipijama001,13,21,NTB,0,W21,Võ Tấn Lợi
Lâm Đồng,Bưu Cục 468 Quốc Lộ 20-Liên Nghĩa-Đức Trọng-Lâm Đồng,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,FUNOVietnam,3,21,NTB,3,W21,Trầm Hữu Tiến
Khánh Hòa,Bưu Cục 36 Bà Triệu-Vạn Ninh-Khánh Hoà,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Chuyên sỉ lẻ hải sản nha trang,32,21,NTB,32,W21,Phạm Bá Thành Công
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-22,1.Tạo trước 9h,4.Khác,Mồi Cóc Trương Lê,5,21,NTB,0,W21,Phạm Bá Thành Công
Bình Thuận,Bưu Cục 575 Quốc Lộ 28-Xã Hàm Thuận-Bình Thuận,2026-05-22,3.Tạo sau 19h,4.Khác,HPHouse,2,21,NTB,0,W21,Nguyễn Ngọc Khánh
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,TẠP HOÁ PHỐ BIỂN,3,21,NTB,3,W21,Cao Thị Thanh Thủy
Khánh Hòa,Bưu Cục 466 Đường 23/10-Nha Trang-Khánh Hòa,2026-05-21,3.Tạo sau 19h,0.Ontime OPR,Shop Đồ Bộ Hằng,1,21,NTB,1,W21,Phan Đình Duy
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-21,1.Tạo trước 9h,0.Ontime OPR,TiBi Xây Dựng 2,7,21,NTB,7,W21,Huỳnh Tấn Hiền
Lâm Đồng,Bưu Cục Số 6 Trương Văn Hoàn-Phường 9-Đà Lạt-Lâm Đồng,2026-05-21,3.Tạo sau 19h,4.Khác,Bách hoá xanh Thanh,1,21,NTB,0,W21,Lê Văn Trường
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-05-22,1.Tạo trước 9h,4.Khác,PHỤ KIỆN NGÀNH CƯỚI K,1,21,NTB,0,W21,Nguyễn Duy Long
Khánh Hòa,Bưu Cục Thôn Xuân Hoà 1-Ninh Hoà-Khánh Hoà,2026-05-22,1.Tạo trước 9h,4.Khác,shopthucpham247,1,21,NTB,0,W21,Phạm Bá Thành Công
Đắk Nông,Bưu Cục Đắk Mil-Đắk Nông,2026-05-21,3.Tạo sau 19h,4.Khác,Thẻ Thu Phí Tự Động Toàn Quốc,1,21,NTB,0,W21,Trần Thị Nhung
Khánh Hòa,Bưu Cục 229 Phước Long-Nam Nha Trang-Khánh Hòa,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Taki Deli Việt Nam,92,21,NTB,92,W21,Thái Thị Thanh Thư
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-05-22,3.Tạo sau 19h,4.Khác,Ari Koi Store,5,21,NTB,0,W21,Lê Văn Trường
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Kho Sỉ Giá Gốc,1,21,NTB,1,W21,Nguyễn Ngọc Khánh
Bình Thuận,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Mộc Linh - Nhang Trầm,2,21,NTB,2,W21,Huỳnh Tấn Hiền
Khánh Hòa,Bưu Cục 229 Phước Long-Nam Nha Trang-Khánh Hòa,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,GIÀY DA NAM QN98,1,21,NTB,1,W21,Thái Thị Thanh Thư
Bình Thuận,Bưu Cục 585 Nguyễn Tất Thành-Xã Lương Sơn-Bình Thuận,2026-05-21,3.Tạo sau 19h,0.Ontime OPR,Cherry shop 94,1,21,NTB,1,W21,Nguyễn Ngọc Khánh
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Phụ Tùng Máy Nông Nghiệp NT,4,21,NTB,4,W21,Nguyễn Duy Long
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-05-22,2.Tạo từ 9h-19h,2.Khách hẹn lại,YẾN BIGSIZE UNISEX,1,21,NTB,0,W21,Nguyễn Duy Long
Khánh Hòa,Bưu Cục 39 Hùng Vương-Diên Khánh-Khánh Hòa,2026-05-22,3.Tạo sau 19h,0.Ontime OPR,Wax Lông Lạnh Nàng Ong,2,21,NTB,2,W21,Nguyễn Hoàng Phi
Lâm Đồng,Bưu Cục Lê Hồng Phong-Liên Hiệp-Đức Trọng-Lâm Đồng,2026-05-21,1.Tạo trước 9h,2.Khách hẹn lại,Minipijama001,1,21,NTB,0,W21,Võ Tấn Lợi
Lâm Đồng,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,2026-05-21,1.Tạo trước 9h,2.Khách hẹn lại,Tạp hoá của Đốm,1,21,NTB,0,W21,Lê Minh Đại
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-05-22,3.Tạo sau 19h,4.Khác,ĐP Yên Nhiên,1,21,NTB,0,W21,Nguyễn Ngọc Khánh
Bình Thuận,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận,2026-05-22,1.Tạo trước 9h,4.Khác,Khanh0202,2,21,NTB,0,W21,Nguyễn Duy Long
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,KhuVườnTrênMây,5,21,NTB,5,W21,Hồng Bích Nga
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-21,1.Tạo trước 9h,0.Ontime OPR,shop B&B....,93,21,NTB,93,W21,Huỳnh Tấn Hiền
Đắk Nông,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,LaLa Mộc Miên,75,21,NTB,75,W21,Trần Công Hậu
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Áo Thun Oh Là La,1,21,NTB,1,W21,Phạm Bá Thành Công
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-05-21,1.Tạo trước 9h,4.Khác,Xịn gia dụng thông Minh,3,21,NTB,0,W21,Nguyễn Duy Long
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Phụ Kiện Girls Xinh,15,21,NTB,15,W21,Nguyễn Ngọc Khánh
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-05-22,2.Tạo từ 9h-19h,0.Ontime OPR,Ari Koi Store,9,21,NTB,9,W21,Lê Văn Trường
Lâm Đồng,Bưu Cục Số 6 Trương Văn Hoàn-Phường 9-Đà Lạt-Lâm Đồng,2026-05-22,1.Tạo trước 9h,4.Khác,Tổng Kho Gia Dụng Lâm Đồng,5,21,NTB,0,W21,Lê Văn Trường
Khánh Hòa,Bưu Cục 39 Hùng Vương-Diên Khánh-Khánh Hòa,2026-05-21,2.Tạo từ 9h-19h,0.Ontime OPR,Wax Lông Lạnh Nàng Ong,1,21,NTB,1,W21,Nguyễn Hoàng Phi
Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,2026-05-21,1.Tạo trước 9h,4.Khác,Gạoo Cosmetics,1,21,NTB,0,W21,Lê Minh Đại
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-21,1.Tạo trước 9h,4.Khác,Holiday Shop.,1,21,NTB,0,W21,Phạm Bá Thành Công
